city,state
Manly,New South Wales
Booyal,Queensland
Moolyella,Western Australia
Far-n-nuff,Western Australia
Nirrippi,Northern Territory
Heath Hill,Victoria
Buckingham,South Australia
Gulligal,New South Wales
Wenlee,South Australia
Dorset Vale,South Australia
Laurallan,Queensland
Good Hope,New South Wales
Soansville,Western Australia
Woodgenillup,Western Australia
Balkuling,Western Australia
West Toodyay,Western Australia
Burramine South,Victoria
Woodgate Beach,Queensland
Burnbank,Victoria
Mangalo,South Australia
Galaquil,Victoria
Kilcunda Road,Victoria
Booloongie,Queensland
Lawloit,Victoria
Keerrong,New South Wales
Birchs Bay,Tasmania
Gnarming,Western Australia
Westgate,Queensland
North Jindivick,Victoria
Boolarong,Victoria
Ardglen,New South Wales
Pialba,Queensland
Toolamba,Victoria
Heather Glen,New South Wales
Mount Seymour,Tasmania
Cloverlea,Victoria
Palmwoods,New South Wales
Mangalore,Queensland
Myall Plains,New South Wales
Moorook,South Australia
Notus Down,Queensland
Pindar,South Australia
Warra Creek,New South Wales
Severn,New South Wales
Tullagrie,Queensland
Murrabit,Victoria
Dromore,New South Wales
Careena Downs,South Australia
Wivenhoe,Tasmania
Collector,New South Wales
Lockwood South,Victoria
Hill End,Victoria
Manya North,Victoria
Nantawarra,South Australia
Tuckombil Hill,New South Wales
Tanjil Bren,Victoria
Auchmah,Queensland
Eurella,Queensland
Banora Point,New South Wales
Powlett Plains,Victoria
Byrnestown,Queensland
Ellinbank,Victoria
Glenmorgan,Queensland
Yalama,New South Wales
Glenorchy,Tasmania
Kakoonie,South Australia
Eaglehawk,Victoria
Nelligen,New South Wales
Yan Yan,Queensland
Doncaster East,Victoria
Jordanville,Victoria
Brinsley,New South Wales
Raymangirr,Northern Territory
Collaroy,New South Wales
Frognall,Tasmania
Tarcoon,New South Wales
Sheringa,South Australia
Pyengana,Tasmania
Woolomin,New South Wales
Port Hedland,Western Australia
Eulimbie,Queensland
Boompa,Queensland
Lake Hindmarsh,Victoria
Nombinnie,New South Wales
Bakers Creek,New South Wales
Kudardup,Western Australia
Nevarda,South Australia
Shackleton,Western Australia
Kings Point,New South Wales
Cooyar,Queensland
Condingup,Western Australia
Oakview,Queensland
Ulva,Western Australia
North Pole,Western Australia
Tamboon South,Victoria
Yambulla,New South Wales
Lostock,New South Wales
Thulloo,New South Wales
Muggleton,Queensland
Bulla,Victoria
Kulwin,Victoria
Coominya,New South Wales
Yallunda Flat,South Australia
Yakilo,South Australia
Trenayr,New South Wales
Wangalinji,Northern Territory
Carboor Upper,Victoria
Wiitin,Northern Territory
Winchelsea,Victoria
Jacks Yards,Queensland
Arthella,New South Wales
Yuruga,Queensland
Basket Range,South Australia
Ewan,Queensland
Highfield,New South Wales
Alexandra,Queensland
Bluff,Queensland
Watsons Creek,Victoria
Willaston,South Australia
Back Plains,Queensland
Upper Taylors Arm,New South Wales
Congupna Road,Victoria
Mount Stuart,Queensland
Numulgi,New South Wales
Goobarralong,New South Wales
Callignee North,Victoria
Malbina,Tasmania
Blackwood Forest,Victoria
Newhaven,Victoria
Kharassan,Queensland
Blanket Flat,New South Wales
Louriana,Western Australia
Gogeldrie,New South Wales
Orange Glen,New South Wales
Tooma,New South Wales
Thang,Queensland
Portsea,Victoria
Jimnora,Queensland
Kalpowar,Queensland
Queens Beach,Queensland
Sisalana,Queensland
Yowaka,New South Wales
Entire Yard,Queensland
Chinbingina,South Australia
Springvale,New South Wales
Roy Armstrong Forest,New South Wales
Georgeville,New South Wales
Brooklet,New South Wales
Echo,New South Wales
Arthurs Seat,New South Wales
Poid,Queensland
Stroud Road,New South Wales
Dunwold,Queensland
Conondale,Queensland
Oenpelli,Northern Territory
Kellevie,Tasmania
Morven,Queensland
Worrolocking,Western Australia
Maharatta,New South Wales
Silent Grove,Queensland
Mallala,South Australia
Etowri,Queensland
Woorim,Queensland
Drumborg,Victoria
Delmore Downs,Northern Territory
Tyndale,New South Wales
Woodford Island,New South Wales
Spring Bluff,Queensland
North Rothbury,New South Wales
Upper Rouchel,New South Wales
Minmindie,Victoria
Whelarra,Western Australia
Taripta,Victoria
Gaiawdjapin,Northern Territory
The Oaks,New South Wales
Wattle Hill,Victoria
Emu Park,New South Wales
Guildford,Victoria
Dunwich,Queensland
Kunnymede,Victoria
Jerseyville,New South Wales
Idlewyld,New South Wales
Tallarook,Victoria
Coradgery,New South Wales
Anna Bay,New South Wales
Mirboo,Victoria
Mortons Creek,New South Wales
Massie,Queensland
Slacks Creek,Queensland
Coronet Bay,Victoria
Alyangula,Northern Territory
Daly River,Northern Territory
Carcoar,New South Wales
Bronte,New South Wales
Raglan,Victoria
Gascoyne Junction,Western Australia
Stony Crossing,New South Wales
Stanmore,Queensland
Lisarow,New South Wales
Tiverton Outstation,South Australia
Nymbool,Queensland
Ocean View,New South Wales
Tomahawk Creek,Victoria
Widgiemooltha,Western Australia
San Remo,New South Wales
Colinton,Queensland
Seville East,Victoria
Broadlands,New South Wales
Garoolgan,New South Wales
Gympie,Queensland
Suva Downs Outstation,Queensland
Myall,New South Wales
Aruna,New South Wales
Torrens Vale,South Australia
Mount Cole Creek,Victoria
Malnjangarnak,Northern Territory
Wolfram Hill,New South Wales
Coonalpyn,South Australia
Cooper,New South Wales
Diamond Springs,New South Wales
Central Tilba,New South Wales
Bunyip Reach,South Australia
Cinnabar,Queensland
Lochiel,South Australia
Ni Ni,Victoria
Kingston,South Australia
Angledale,New South Wales
Karoonda,South Australia
Australind,Western Australia
Idlewilds,Queensland
Eulomogo,New South Wales
Gladfield,Queensland
Narngulu,Western Australia
Auburn,New South Wales
Claremont,New South Wales
Rockmore,New South Wales
Toonpan,Queensland
Kulde,South Australia
The Grange,Queensland
Comet,Queensland
Dundowran Beach,Queensland
Fassifern,New South Wales
Home Rule,New South Wales
Macedon,Victoria
Cabawin,Queensland
Barrideans,South Australia
Kalama,New South Wales
Murrungowar,Victoria
Nyah,Victoria
Burren Junction,New South Wales
Mount Best,Victoria
Thornlands,Queensland
Marrkalawa,Northern Territory
Rockton,Queensland
Marks,Western Australia
Balaringar,New South Wales
Corriemore,New South Wales
Price,South Australia
Lisbali,New South Wales
Langloh,Tasmania
Mosquito Creek,Victoria
Mount Colah,New South Wales
Burcher,New South Wales
Pymble,New South Wales
Kumarl,Western Australia
Boolba,Queensland
Charlton,Victoria
Arcadia,Victoria
Tooraweenah,New South Wales
Martinsville,New South Wales
Everton,New South Wales
Bringelly,New South Wales
Fernflat,Queensland
Corack,Victoria
Marmoyi,Northern Territory
William Creek,South Australia
Mengha,Tasmania
Wynella,New South Wales
Yarrock,Victoria
Wattle Flat,South Australia
The Walnuts,Victoria
Norah,New South Wales
Santa Teresa,Northern Territory
Bundanoon,New South Wales
Karte,South Australia
Bronzewing,Victoria
Skenes Creek,Victoria
Willawa,Queensland
Cudal,New South Wales
Laverton,Victoria
Kiauna,South Australia
Exevale,Queensland
Alcomie,Tasmania
Lannigans Yard,Western Australia
Cripple Creek,New South Wales
Bindogandri,New South Wales
North Coast,Queensland
Birdwood,South Australia
Whorouly South,Victoria
Cosmo Newbery,Western Australia
Ginquam,Victoria
Wandering,Western Australia
Lynwood,Queensland
Carpa,South Australia
Chandos,South Australia
Coolangatta,Queensland
Field,South Australia
Cancanning,Western Australia
Innisplain,Queensland
Winkleigh,Tasmania
East Malanda,Queensland
Zalmonah,New South Wales
Wood Glen,New South Wales
Cobram,Victoria
Robs Parlor,New South Wales
Fairhope,Victoria
Glen Niven,Queensland
Rochester,Victoria
Aldinga Beach,South Australia
Eungai,New South Wales
Yanyular,Northern Territory
Austins Ferry,Tasmania
Capel,Western Australia
Somers,Victoria
Dingley,Victoria
Macksville,New South Wales
Hargraves,New South Wales
Cluan,Tasmania
Perry Bridge,Victoria
Kurraca West,Victoria
Artemis,Queensland
Chowerup,Western Australia
Newstead,New South Wales
Mella,Tasmania
Alberton,Victoria
Clive,New South Wales
Lower Cressbrook,Queensland
Stokers Siding,New South Wales
Coocooboonah,New South Wales
Kanwal,New South Wales
Hayanmi,Victoria
Laura Bay,South Australia
Waterloo,Victoria
Forth,Tasmania
Yaminyi,Northern Territory
Mount Edwards,Queensland
Glenormiston,Victoria
Black Hills,Tasmania
Quindabelup,Western Australia
Ehlma,Queensland
Karping,Western Australia
Jiggiga,New South Wales
Dixie,Victoria
Biggara,Victoria
Rockwell,New South Wales
Happy Valley,Queensland
Toorbul,Queensland
Bena,Victoria
Cannon Valley,Queensland
Addervale,New South Wales
Kojonup,Western Australia
Mullion Creek,New South Wales
Normanville,Victoria
Sandiford,Queensland
Kaylyle,New South Wales
Christies,Victoria
Oolbun,Queensland
La Mancha,New South Wales
Wooganup,Western Australia
Kianga,Queensland
Yallourn,Victoria
South Kulin,Western Australia
Wilkur,Victoria
Murrulula,New South Wales
Panmure,Victoria
Bowenfels,New South Wales
Cowra Creek,New South Wales
Preston South,Tasmania
Grove Hill,Northern Territory
Quambatook,Victoria
Shaw,New South Wales
Milton Park,New South Wales
Earlsfield,Queensland
Marulan,New South Wales
Merriden,New South Wales
Hastings Point,New South Wales
Whiterock,New South Wales
Longwarry North,Victoria
Triabunna,Tasmania
Nyora,Victoria
Fairburn,New South Wales
Eneabba,Western Australia
Lilydale,Queensland
Coleraine,Victoria
Karangi,New South Wales
Petrie,Queensland
Exton,Tasmania
Strathbogie,New South Wales
Boiling Springs,Queensland
Wubagul,Queensland
Tea Gardens,New South Wales
Bridgewater,South Australia
Huskisson,New South Wales
Kings Corner,New South Wales
Jacobs Well,Queensland
Glenrose,New South Wales
Clydevale,Queensland
Wadbilliga,New South Wales
Gheerulla,Queensland
Trapall,Queensland
Inverramsay,Queensland
Santa Rae,New South Wales
Edillilie,South Australia
Panjee,New South Wales
Valerie,Queensland
Old Manunda,South Australia
Central Mount Wedge,Northern Territory
Byrneville,Victoria
Woodglen,Victoria
Point Turton,South Australia
Yungngora,Western Australia
Moorland,New South Wales
Camp Ridgeway,Queensland
Mount Walker,Queensland
Howes Valley,New South Wales
Barmedman,New South Wales
Tamleugh West,Victoria
Cresco Estate,South Australia
Tarwin East,Victoria
Puralka,Victoria
Corfield,Queensland
Leichards Yard,Queensland
Bilambil,New South Wales
Newbridge,Victoria
Eastern Creek,Western Australia
Balingura,Northern Territory
Mooroopna North,Victoria
Yingerabay,Queensland
Apple Tree Creek,Queensland
Swamp Yard,Queensland
Glaziers Bay,Tasmania
Wandello,New South Wales
Lunawanna,Tasmania
Leura,New South Wales
Malchi,Queensland
Carrick,New South Wales
Hope Island,Queensland
Hartree,Queensland
Traralgon South,Victoria
Linkletters Place,Western Australia
Mathoura,New South Wales
Lindisfarne,Tasmania
Malmsbury,Victoria
Alray,Queensland
Shreydon,New South Wales
Barwon Downs,Victoria
Cordering,Western Australia
Lower Mangrove,New South Wales
Darch,Victoria
Camden Haven,New South Wales
North Tamborine,Queensland
Lone Pine,New South Wales
Castle Bend,New South Wales
Fords Bridge,New South Wales
Tylers Pass,Northern Territory
Paxton,New South Wales
Forster,New South Wales
Camooweal,Queensland
Saltern,Queensland
Muswellbrook,New South Wales
Bruthen,Victoria
Nectar Brook,South Australia
Roebourne,Western Australia
Clayhole Yards,Queensland
Angula,Northern Territory
Littlemore,Queensland
Kyneton,Victoria
Beech Forest,Victoria
Glendaruel,Victoria
Ungo,Queensland
Mogilla,New South Wales
Highlands,Victoria
Bull Creek,Queensland
Caerphilly,Queensland
Middle Swan,Western Australia
Swan Hill,Victoria
Pimelea,Western Australia
Rosemeath,New South Wales
Pimlico,New South Wales
Wooroowoolgen,New South Wales
Hopefield,New South Wales
Glenlynn,Western Australia
Gumly Gumly,New South Wales
South Nanango,Queensland
Cooa Park,South Australia
Big Bell,Western Australia
Grenville,Victoria
Marshall Falls,New South Wales
Gulera,Queensland
Balgowan,South Australia
Woodside,South Australia
Warrnambool,Victoria
Kioloa,New South Wales
Alberton West,Victoria
Ranga,Tasmania
Bellevue,Western Australia
Dingo Yard,Queensland
Sackville Reach,New South Wales
Warroo,New South Wales
Gundowda,New South Wales
Staverton,Tasmania
Weipa South,Queensland
Brookwood,New South Wales
Derriwong,New South Wales
Barrapunja,Northern Territory
Lucknow,Victoria
Emu Yard,Queensland
Oakey,Queensland
Milltown,Victoria
Laurail,New South Wales
Everglades,New South Wales
Cataract,New South Wales
Port Douglas,Queensland
Stradbroke,New South Wales
Ebenezer,Queensland
Nilma,Victoria
Girgarre,Victoria
Uralgurra,New South Wales
Apple Tree Yard,Queensland
Kuringai,New South Wales
The Sisters,Victoria
Lulworth,Tasmania
Veitch,South Australia
Pickanjinnie,Queensland
Murvic,South Australia
Pioneer,Queensland
Noradjuha,Victoria
Oak Park,South Australia
Caloola,New South Wales
Powers Creek,Victoria
Forbes River,New South Wales
Gavial,Queensland
Wyoming,New South Wales
Delta,Queensland
Harristown,Queensland
Tansey,Queensland
Goldspie,New South Wales
Daunton,Queensland
Malling,Queensland
Saint Kilda,Victoria
Karuah,New South Wales
Dulbelling,Western Australia
Inner Pocket,New South Wales
Shenton Park,Western Australia
Laura,South Australia
Marburg,Queensland
Eukey,Queensland
Emden Vale,New South Wales
Herrick,Tasmania
Blyth,South Australia
The George,New South Wales
McAlister,New South Wales
Jordan,Victoria
Hagley,Tasmania
Middlebrook,New South Wales
Badjaling,Western Australia
Corop,Victoria
Piemonte,Queensland
Ballarat,Victoria
Port Kennedy,Western Australia
Ridge Hill,Western Australia
Yangarella Stud,Queensland
Looma,Western Australia
Mundoo,Queensland
Ewingar,New South Wales
Montrose,Queensland
Gatewicke,New South Wales
Bracalba,Queensland
Kiriwina,New South Wales
Carrington,New South Wales
Brookville,Victoria
Nardoo,Queensland
Rocky Plain,New South Wales
Develin,Queensland
Pullabooka,New South Wales
Furracabad,New South Wales
Berri,South Australia
Glenvale,New South Wales
The Bamboos,New South Wales
Killiecrankie,Tasmania
Mandalong,New South Wales
Dunalley,Tasmania
Langwarren,South Australia
Broadmeadows,Victoria
Glen Lomond,New South Wales
Pilton,Queensland
Mount Rat,South Australia
Churchill,Queensland
Lillimur,Victoria
Mandiga,Western Australia
Sturdee,South Australia
Dalveen,Queensland
Elderslie,Tasmania
Windora,New South Wales
Gochan Jiny-Jirra,Northern Territory
Pinewood,New South Wales
Wellington Vale,New South Wales
Mission Beach,Queensland
Netherdale,Queensland
Curl Curl,New South Wales
Narrabeen,New South Wales
Wulgulmerang,Victoria
White Rock,Queensland
Sarsfield,Victoria
Clintonvale,Queensland
Tindabyne,New South Wales
Giru,Queensland
Myola,Victoria
Wowagin,New South Wales
Roadview,South Australia
Wandandian,New South Wales
Hivesville,Queensland
Pomeroy,New South Wales
Argoon,New South Wales
Tyrendarra,Victoria
Westmead,New South Wales
Mata Mata,Northern Territory
Yerra,Queensland
Geengee,Queensland
Orkabie,Queensland
The Plateau,New South Wales
Acacia Creek,New South Wales
Panitya,Victoria
Sydney,New South Wales
Belmont,New South Wales
Yarrawalla South,Victoria
Forest Hill,Queensland
Patyah,Victoria
Towan,New South Wales
Saint Helens,Victoria
Bawang,New South Wales
Goldsmith,Tasmania
Barrys Reef,Victoria
Cannon Creek,Queensland
Wesleholm,New South Wales
Goonyella,Queensland
Gannawarra,Victoria
Native Valley,South Australia
Deniliquin,New South Wales
Nikawu,Northern Territory
Harwood,New South Wales
Belgian Gardens,Queensland
Mount Schank,South Australia
Buckendoon,New South Wales
Murrin Bridge Aboriginal Station,New South Wales
Boat Harbour,Tasmania
Gibb Rock,Western Australia
Premaydena,Tasmania
Canary Island South,Victoria
Woodside,New South Wales
Jeeralang Junction,Victoria
South Wolca,Queensland
Steiglitz,Victoria
Millmerran,Queensland
Cecil Plains,Queensland
Arkaroola Village,South Australia
Normanville,South Australia
Gordon Brook,Queensland
Oak Leigh,New South Wales
Kagaru,Queensland
Norwin,Queensland
Yerangatup,Western Australia
Nukarni,Western Australia
Dotsmere,Queensland
Bredbo,New South Wales
Barwite,Victoria
Neurea,New South Wales
Palm Island,Queensland
Redhill,South Australia
Triholm,Victoria
Bathumi,Victoria
Gin Gin,Queensland
Purnong Landing,South Australia
Kirwan,Western Australia
Upper Esk,Tasmania
Avoca Beach,New South Wales
Nowendoc,New South Wales
Sassafras East,Tasmania
Thagoona,Queensland
Badalia,Queensland
The Bend Dip,New South Wales
Toolleen,Victoria
Reedy Creek,South Australia
Thurla,Victoria
Iveragh,Queensland
Tourello,Victoria
Bateau Bay,New South Wales
Wietalaba,Queensland
Cumnock,New South Wales
Portland,New South Wales
Marapa,South Australia
Tuglow,New South Wales
Glennons Hill,Victoria
Miepoll,Victoria
Eagle Heights,Queensland
Nabilla,Queensland
Jordan Avon,Queensland
Greenvale,Victoria
Mindarie,South Australia
Nomans Lake,Western Australia
Kanyan,Queensland
Nook,Tasmania
Toolondo,Victoria
Red Jacket,Victoria
Gheringhap,Victoria
Lotus Bird Lodge,Queensland
Toulkerrie,Queensland
Kapaloo,Queensland
Weymouth,Tasmania
Lancelot,South Australia
Bangor,Tasmania
Calder Upper,Tasmania
Minyip,Victoria
Lette,New South Wales
Otago,Tasmania
Kensington,New South Wales
Gregory,Western Australia
Southernwood,Queensland
